Year,Month,Value
1940,2,1.55
1940,3,1.87
1940,4,2.06
1940,5,1.76
1940,6,2.07
1940,7,1.82
1940,8,1.31
1940,9,1.09
1940,10,1.28
1940,11,1.55
1940,12,2.68
1941,1,2.67
1941,2,2.86
1941,3,2.43
1941,4,2.31
1941,5,2.07
1941,6,2.83
1941,7,3.01
1941,8,3.22
1941,9,2.04
1941,10,1.14
1941,11,1.51
1941,12,2.21
1942,1,2.48
1942,2,1.96
1942,3,1.11
1942,4,0.97
1942,5,0.53
1942,6,0.77
1942,7,0.58
1942,8,0.6
1942,9,0.37
1942,10,0.23
1942,11,-0.13
1942,12,-0.93
1943,1,-1.62
1943,2,-0.7
1943,3,0.32
1943,4,1.28
1943,5,0.58
1943,6,-0.14
1943,7,-0.22
1943,8,-1.88
1943,9,-1.61
1943,10,-1.48
1943,11,-0.18
1943,12,1.98
1944,1,1.58
1944,2,0.25
1944,3,-0.53
1944,4,-0.87
1944,5,-1.76
1944,6,-2.1
1944,7,-1.49
1944,8,-1
1944,9,-1.94
1944,10,-1.5
1944,11,-0.81
1944,12,-0.48
1945,1,-0.09
1945,2,-0.34
1945,3,-0.06
1945,4,-0.37
1945,5,-0.38
1945,6,0.16
1945,7,0.31
1945,8,-0.61
1945,9,-0.57
1945,10,-0.42
1945,11,-1.34
1945,12,-1.99
1946,1,-1.1
1946,2,0.67
1946,3,0.73
1946,4,0.67
1946,5,-0.45
1946,6,-0.63
1946,7,-0.07
1946,8,-0.17
1946,9,-0.15
1946,10,-1.23
1946,11,-1.82
1946,12,-1.66
1947,1,-0.15
1947,2,0.22
1947,3,0.31
1947,4,0.1
1947,5,-0.36
1947,6,0.67
1947,7,0.78
1947,8,0.61
1947,9,0.4
1947,10,1.39
1947,11,0.61
1947,12,0.43
1948,1,0.27
1948,2,-0.32
1948,3,-1.11
1948,4,-1.13
1948,5,-1.78
1948,6,0.01
1948,7,-0.1
1948,8,-1.07
1948,9,-1.07
1948,10,-1.74
1948,11,-0.92
1948,12,-1.85
1949,1,-2.82
1949,2,-3.17
1949,3,-1.82
1949,4,-1.54
1949,5,-1.37
1949,6,-1.21
1949,7,-1.48
1949,8,-1.61
1949,9,-1.6
1949,10,-2.29
1949,11,-1.08
1949,12,-0.93
1950,1,-1.61
1950,2,-2.17
1950,3,-1.89
1950,4,-1.99
1950,5,-3.19
1950,6,-2.52
1950,7,-3.65
1950,8,-2.98
1950,9,-2.4
1950,10,-1.92
1950,11,-1.45
1950,12,-1.06
1951,1,-1.19
1951,2,-1.52
1951,3,-1.72
1951,4,-1.35
1951,5,-1.29
1951,6,-1.77
1951,7,-0.23
1951,8,-1.76
1951,9,-0.78
1951,10,-0.09
1951,11,-0.31
1951,12,-1.45
1952,1,-2.19
1952,2,-1.35
1952,3,-1.67
1952,4,-1.92
1952,5,-2.07
1952,6,-2.13
1952,7,-2.05
1952,8,-1.58
1952,9,-1.36
1952,10,-0.91
1952,11,-0.53
1952,12,-0.83
1953,1,-0.16
1953,2,-0.46
1953,3,-1.27
1953,4,-0.9
1953,5,-0.55
1953,6,-0.2
1953,7,0.06
1953,8,-0.92
1953,9,-1.11
1953,10,-1.48
1953,11,-0.51
1953,12,-0.18
1954,1,-1.13
1954,2,-0.95
1954,3,-1.15
1954,4,-1.25
1954,5,-0.76
1954,6,0.49
1954,7,-0.08
1954,8,-0.32
1954,9,-1.05
1954,10,0.02
1954,11,0.85
1954,12,0.49
1955,1,-0.23
1955,2,-1.01
1955,3,-1.24
1955,4,-2.21
1955,5,-1.89
1955,6,-2.18
1955,7,-2.75
1955,8,-2.66
1955,9,-2.48
1955,10,-3.35
1955,11,-2.63
1955,12,-2.2
1956,1,-2.26
1956,2,-2.28
1956,3,-2.93
1956,4,-2.55
1956,5,-1.62
1956,6,-1.98
1956,7,-1.48
1956,8,-1
1956,9,-0.28
1956,10,-1.66
1956,11,-2.44
1956,12,-1.27
1957,1,-1.31
1957,2,-1.57
1957,3,-0.83
1957,4,-0.81
1957,5,-0.02
1957,6,1.53
1957,7,0.59
1957,8,0.34
1957,9,1.84
1957,10,1.72
1957,11,1.54
1957,12,0.46
1958,1,0.83
1958,2,0.94
1958,3,0.62
1958,4,0.56
1958,5,1.46
1958,6,1.82
1958,7,0.61
1958,8,1.06
1958,9,0.77
1958,10,0.28
1958,11,0.28
1958,12,1.14
1959,1,1.04
1959,2,0.35
1959,3,-0.14
1959,4,-0.16
1959,5,-0.13
1959,6,0.23
1959,7,-0.42
1959,8,-0.31
1959,9,-0.53
1959,10,0.96
1959,11,1.38
1959,12,1.02
1960,1,0.24
1960,2,0.61
1960,3,0.23
1960,4,0.21
1960,5,0.35
1960,6,1.2
1960,7,-0.42
1960,8,-0.31
1960,9,-0.96
1960,10,-0.34
1960,11,-0.34
1960,12,0
1961,1,0.89
1961,2,0.92
1961,3,0.64
1961,4,0.28
1961,5,-0.54
1961,6,-0.7
1961,7,-1.23
1961,8,-0.87
1961,9,-1.34
1961,10,-1.78
1961,11,-1.43
1961,12,-1.73
1962,1,-1
1962,2,-0.87
1962,3,-1.06
1962,4,-0.95
1962,5,-1.3
1962,6,-1.71
1962,7,-1.83
1962,8,-0.66
1962,9,-1.47
1962,10,-1.76
1962,11,-0.38
1962,12,-0.23
1963,1,0.12
1963,2,0.15
1963,3,-0.28
1963,4,-0.27
1963,5,-1.26
1963,6,-0.6
1963,7,-1.11
1963,8,-1.01
1963,9,1.08
1963,10,0.34
1963,11,-0.5
1963,12,0.45
1964,1,0.34
1964,2,0.21
1964,3,-0.71
1964,4,-1.27
1964,5,-2.39
1964,6,-0.86
1964,7,-1.08
1964,8,-1.6
1964,9,-1.35
1964,10,-0.64
1964,11,-0.68
1964,12,-0.62
1965,1,-0.95
1965,2,-0.61
1965,3,-0.17
1965,4,-0.01
1965,5,-0.66
1965,6,-0.76
1965,7,-0.74
1965,8,0.32
1965,9,0.83
1965,10,0.3
1965,11,0.47
1965,12,0.25
1966,1,-0.67
1966,2,-0.43
1966,3,-1
1966,4,-0.37
1966,5,-0.76
1966,6,0.1
1966,7,0.01
1966,8,-0.29
1966,9,-0.35
1966,10,-0.6
1966,11,-0.71
1966,12,-0.21
1967,1,-0.24
1967,2,-0.25
1967,3,-0.8
1967,4,-1.13
1967,5,-1.54
1967,6,-1.2
1967,7,-1.21
1967,8,-1.55
1967,9,-0.6
1967,10,-0.06
1967,11,0.36
1967,12,-0.68
1968,1,-0.65
1968,2,-0.19
1968,3,0.08
1968,4,-0.69
1968,5,-0.79
1968,6,0.14
1968,7,0.44
1968,8,-0.01
1968,9,0.26
1968,10,-0.18
1968,11,0.03
1968,12,-0.29
1969,1,-0.71
1969,2,-1.22
1969,3,-1.21
1969,4,-1.07
1969,5,-1.06
1969,6,0.84
1969,7,-0.37
1969,8,-0.92
1969,9,-1.07
1969,10,0.95
